id,title,year,journal,abstract,keywords
P1000,通用设计视角下的可持续评估方法,城市规划学刊,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,通用设计; 服务设计; 可持续
P1001,服务设计视角下的康复评估方法,2015,International Journal of Inclusive Design,文章讨论了政策与实践之间的差距，并提出了关于无障碍的若干建议。,社区参与; 建筑设计; 康复; 服务设计; 无障碍
P1002,问卷调查的设计方法与应用——以政策评估为例,2013,Accessibility Research,本文基于政策评估数据，提出了一种用于问卷调查的分析框架，验证了方法的有效性。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了政策评估与政策评估之间的内在关系。 实验结果表明，该方法在提高问卷调查可达性方面具有显著作用，适用于中小城市推广应用。,无障碍旅游; 问卷调查; 政策评估; 公共空间; 残疾人
P1003,深度学习与深度学习的协同发展研究,2023,环境与可持续发展,文章讨论了政策与实践之间的差距，并提出了关于辅助技术的若干建议。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了辅助技术与语义分割之间的内在关系。,语义分割; 辅助技术; 深度学习
P1004,辅具: 面向辅具的实证分析,2016,城市规划学刊,本文基于可持续数据，提出了一种用于可持续的分析框架，验证了方法的有效性。 文章讨论了政策与实践之间的差距，并提出了关于辅具的若干建议。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了法律法规与可持续之间的内在关系。,可持续; 辅具; 法律法规
P1005,老龄化的设计方法与应用——以辅具为例,2021,Smart Cities Review,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 本文基于辅具数据，提出了一种用于老龄化的分析框架，验证了方法的有效性。 实验结果表明，该方法在提高老龄化可达性方面具有显著作用，适用于中小城市推广应用。,辅具; 无障碍; 老龄化; 服务设计
P1006,通用设计视角下的老龄化评估方法,2017,中国残疾人研究,实验结果表明，该方法在提高问卷调查可达性方面具有显著作用，适用于中小城市推广应用。 文章讨论了政策与实践之间的差距，并提出了关于空间布局的若干建议。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,通用设计; 老龄化; 问卷调查; 空间布局
P1007,可持续与公共空间的协同发展研究,,2019,交通运输工程学报,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 文章讨论了政策与实践之间的差距，并提出了关于公共空间的若干建议。 本文基于公共空间数据，提出了一种用于建筑设计的分析框架，验证了方法的有效性。,可持续; 建筑设计; 公共空间
P1008,法律法规与法律法规的协同发展研究,2024,Accessibility Research,文章讨论了政策与实践之间的差距，并提出了关于政策评估的若干建议。,社区参与; 政策评估; 步行环境; 法律法规
P1009,交通规划视角下的交通规划评估方法,2024,交通运输工程学报,实验结果表明，该方法在提高交通规划可达性方面具有显著作用，适用于中小城市推广应用。,步行环境; 城市规划; 无障碍; 交通规划; 可持续
P1010,行动不便: 面向城市规划的实证分析,2015,建筑学报,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了行动不便与城市规划之间的内在关系。 本文基于行动不便数据，提出了一种用于城市规划的分析框架，验证了方法的有效性。 实验结果表明，该方法在提高无障碍教育可达性方面具有显著作用，适用于中小城市推广应用。,城市规划; 无障碍教育; 行动不便
P1011,可持续与辅具的协同发展研究,2013,Smart Cities Review,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了社会公平与无障碍教育之间的内在关系。 文章讨论了政策与实践之间的差距，并提出了关于社会公平的若干建议。,无障碍教育; 辅具; 社会公平; 可持续
P1012,基于空间布局的辅具研究,2020,International Journal of Inclusive Design,文章讨论了政策与实践之间的差距，并提出了关于空间布局的若干建议。,空间布局; 无障碍; 步行环境; 可达性; 辅具
P1013,包容性设计的设计方法与应用——以无障碍为例,2016,Journal of Transport and Health,本文基于可达性数据，提出了一种用于无障碍的分析框架，验证了方法的有效性。 实验结果表明，该方法在提高无障碍可达性方面具有显著作用，适用于中小城市推广应用。,无障碍; 包容性设计; 可达性
P1014,步行环境视角下的步行环境评估方法,2015,环境与可持续发展,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了可持续与社区参与之间的内在关系。,可持续; 步行环境; 数据驱动; 社区参与; 智能城市
P1015,通用设计驱动的通用设计优化策略,2019,Journal of Urban Studies,本文基于通用设计数据，提出了一种用于空间布局的分析框架，验证了方法的有效性。,空间布局; 建筑设计; 通用设计; 政策评估
P1016,无障碍教育驱动的法律法规优化策略,2021,Smart Cities Review,本文基于无障碍教育数据，提出了一种用于法律法规的分析框架，验证了方法的有效性。 实验结果表明，该方法在提高法律法规可达性方面具有显著作用，适用于中小城市推广应用。 文章讨论了政策与实践之间的差距，并提出了关于法律法规的若干建议。,数据驱动; 无障碍教育; 法律法规; 老龄化
P1017,无障碍旅游视角下的无障碍旅游评估方法,2016,Journal of Transport and Health,文章讨论了政策与实践之间的差距，并提出了关于无障碍教育的若干建议。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了无障碍旅游与无障碍旅游之间的内在关系。 实验结果表明，该方法在提高无障碍旅游可达性方面具有显著作用，适用于中小城市推广应用。,社区参与; 无障碍教育; 语义网络; 无障碍旅游; 可达性
P1018,交通规划视角下的交通规划评估方法,2013,Journal of Transport and Health,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了空间布局与交通规划之间的内在关系。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,包容性设计; 交通规划; 可持续; 空间布局
P1019,可视化的设计方法与应用——以建筑设计为例,2022,建筑学报,文章讨论了政策与实践之间的差距，并提出了关于可视化的若干建议。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,无障碍; 步行环境; 法律法规; 建筑设计; 可视化
P1020,康复视角下的辅具评估方法,2020,环境与可持续发展,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 文章讨论了政策与实践之间的差距，并提出了关于辅具的若干建议。,语义分割; 行动不便; 康复; 辅具
P1021,深度学习: 面向社会公平的实证分析,2018,Smart Cities Review,本文基于深度学习数据，提出了一种用于社会公平的分析框架，验证了方法的有效性。 文章讨论了政策与实践之间的差距，并提出了关于社区参与的若干建议。,社会公平; 社区参与; 深度学习
P1022,通用设计驱动的通用设计优化策略,2017,International Journal of Inclusive Design,本文基于辅助技术数据，提出了一种用于可达性的分析框架，验证了方法的有效性。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,语义网络; 语义分割; 辅助技术; 可达性; 通用设计
P1023,公共空间视角下的公共空间评估方法,2017,建筑学报,文章讨论了政策与实践之间的差距，并提出了关于残疾人的若干建议。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 实验结果表明，该方法在提高公共空间可达性方面具有显著作用，适用于中小城市推广应用。,公共空间; 残疾人; 通用设计
P1024,空间布局的设计方法与应用——以可持续为例,2015,Accessibility Research,文章讨论了政策与实践之间的差距，并提出了关于空间布局的若干建议。,可持续; 步行环境; 空间布局
P1025,服务设计视角下的辅助技术评估方法,2014,中国残疾人研究,实验结果表明，该方法在提高辅助技术可达性方面具有显著作用，适用于中小城市推广应用。 本文基于法律法规数据，提出了一种用于行动不便的分析框架，验证了方法的有效性。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,服务设计; 行动不便; 辅助技术; 法律法规; 无障碍教育
P1026,可持续: 面向人体工程学的实证分析,2015,环境与可持续发展,实验结果表明，该方法在提高社区参与可达性方面具有显著作用，适用于中小城市推广应用。 文章讨论了政策与实践之间的差距，并提出了关于人体工程学的若干建议。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,可持续; 社区参与; 人体工程学
P1027,辅助技术与数据驱动的协同发展研究,2020,Smart Cities Review,实验结果表明，该方法在提高辅助技术可达性方面具有显著作用，适用于中小城市推广应用。,数据驱动; 辅助技术; 服务设计; 空间布局
P1028,服务设计的设计方法与应用——以城市规划为例,2012,Accessibility Research,本文基于城市规划数据，提出了一种用于残疾人的分析框架，验证了方法的有效性。,可达性; 服务设计; 残疾人; 城市规划; 无障碍旅游
P1029,基于城市规划的公共空间研究,2018,交通运输工程学报,本文基于空间布局数据，提出了一种用于智能城市的分析框架，验证了方法的有效性。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了公共空间与公共空间之间的内在关系。,公共空间; 城市规划; 智能城市; 空间布局
P1030,语义分割驱动的无障碍优化策略,2015,环境与可持续发展,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了无障碍与公共空间之间的内在关系。 本文基于语义分割数据，提出了一种用于公共空间的分析框架，验证了方法的有效性。,公共空间; 语义分割; 无障碍
P1031,基于无障碍旅游的康复研究,2012,Journal of Urban Studies,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,空间布局; 无障碍旅游; 康复
P1032,可视化驱动的可视化优化策略,2021,Accessibility Research,实验结果表明，该方法在提高可视化可达性方面具有显著作用，适用于中小城市推广应用。,服务设计; 残疾人; 可视化
P1033,基于语义网络的语义网络研究,2018,城市规划学刊,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了语义网络与辅助技术之间的内在关系。,人体工程学; 无障碍旅游; 语义网络; 残疾人; 辅助技术
P1034,基于老龄化的无障碍旅游研究,2016,中国残疾人研究,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了老龄化与康复之间的内在关系。 文章讨论了政策与实践之间的差距，并提出了关于人体工程学的若干建议。,可达性; 无障碍旅游; 康复; 人体工程学; 老龄化
P1035,基于政策评估的政策评估研究,2020,Journal of Transport and Health,实验结果表明，该方法在提高可达性可达性方面具有显著作用，适用于中小城市推广应用。 文章讨论了政策与实践之间的差距，并提出了关于政策评估的若干建议。,深度学习; 政策评估; 可达性
P1036,政策评估驱动的深度学习优化策略,2019,International Journal of Inclusive Design,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了政策评估与建筑设计之间的内在关系。 本文基于政策评估数据，提出了一种用于建筑设计的分析框架，验证了方法的有效性。,政策评估; 可持续; 深度学习; 建筑设计
P1037,深度学习与包容性设计的协同发展研究,2019,建筑学报,实验结果表明，该方法在提高包容性设计可达性方面具有显著作用，适用于中小城市推广应用。,包容性设计; 语义网络; 交通规划; 深度学习
P1038,智能城市: 面向智能城市的实证分析,2017,Journal of Transport and Health,实验结果表明，该方法在提高社区参与可达性方面具有显著作用，适用于中小城市推广应用。 本文基于智能城市数据，提出了一种用于社区参与的分析框架，验证了方法的有效性。,法律法规; 智能城市; 可持续; 社区参与
P1039,公共空间与康复的协同发展研究,2024,International Journal of Inclusive Design,本文基于公共空间数据，提出了一种用于公共空间的分析框架，验证了方法的有效性。 文章讨论了政策与实践之间的差距，并提出了关于无障碍旅游的若干建议。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了无障碍旅游与康复之间的内在关系。,无障碍旅游; 语义分割; 公共空间; 康复
P1040,建筑设计: 面向政策评估的实证分析,2024,中国残疾人研究,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了建筑设计与政策评估之间的内在关系。,数据驱动; 建筑设计; 政策评估
P1041,语义分割与问卷调查的协同发展研究,2024,Smart Cities Review,文章讨论了政策与实践之间的差距，并提出了关于行动不便的若干建议。,问卷调查; 服务设计; 语义分割; 辅具; 行动不便
P1042,辅具驱动的建筑设计优化策略,2017,城市规划学刊,文章讨论了政策与实践之间的差距，并提出了关于建筑设计的若干建议。,辅具; 深度学习; 问卷调查; 步行环境; 建筑设计
P1043,人体工程学: 面向步行环境的实证分析,2019,环境与可持续发展,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了步行环境与步行环境之间的内在关系。 本文基于步行环境数据，提出了一种用于社区参与的分析框架，验证了方法的有效性。,社区参与; 智能城市; 步行环境; 人体工程学
P1044,社会公平与社会公平的协同发展研究,2019,Journal of Transport and Health,本文基于社会公平数据，提出了一种用于通用设计的分析框架，验证了方法的有效性。,社会公平; 通用设计; 城市规划
P1045,数据驱动视角下的无障碍评估方法,2022,Smart Cities Review,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 本文基于可达性数据，提出了一种用于数据驱动的分析框架，验证了方法的有效性。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了可达性与无障碍之间的内在关系。,可达性; 无障碍; 数据驱动
P1046,残疾人的设计方法与应用——以残疾人为例,2020,International Journal of Inclusive Design,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 实验结果表明，该方法在提高空间布局可达性方面具有显著作用，适用于中小城市推广应用。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了残疾人与残疾人之间的内在关系。,残疾人; 空间布局; 辅助技术
P1047,老龄化的设计方法与应用——以辅助技术为例,2021,建筑学报,文章讨论了政策与实践之间的差距，并提出了关于辅助技术的若干建议。 本文基于法律法规数据，提出了一种用于步行环境的分析框架，验证了方法的有效性。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,无障碍旅游; 辅助技术; 法律法规; 步行环境; 老龄化
P1048,问卷调查视角下的法律法规评估方法,2013,Journal of Transport and Health,文章讨论了政策与实践之间的差距，并提出了关于法律法规的若干建议。,法律法规; 步行环境; 问卷调查
P1049,老龄化与数据驱动的协同发展研究,2015,交通运输工程学报,本文基于数据驱动数据，提出了一种用于数据驱动的分析框架，验证了方法的有效性。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了问卷调查与老龄化之间的内在关系。,数据驱动; 问卷调查; 老龄化
P1050,交通规划的设计方法与应用——以公共空间为例,2014,Journal of Transport and Health,本文基于交通规划数据，提出了一种用于语义网络的分析框架，验证了方法的有效性。,语义网络; 公共空间; 智能城市; 通用设计; 交通规划
P1051,人体工程学与法律法规的协同发展研究,2016,交通运输工程学报,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了社区参与与法律法规之间的内在关系。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,法律法规; 人体工程学; 康复; 社区参与
P1052,无障碍驱动的无障碍教育优化策略,2024,Smart Cities Review,本文基于老龄化数据，提出了一种用于无障碍旅游的分析框架，验证了方法的有效性。 实验结果表明，该方法在提高无障碍可达性方面具有显著作用，适用于中小城市推广应用。,无障碍旅游; 无障碍教育; 老龄化; 无障碍
P1053,语义网络驱动的无障碍旅游优化策略,2021,International Journal of Inclusive Design,本文基于语义网络数据，提出了一种用于老龄化的分析框架，验证了方法的有效性。 文章讨论了政策与实践之间的差距，并提出了关于老龄化的若干建议。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了语义网络与社区参与之间的内在关系。,语义网络; 社区参与; 无障碍旅游; 老龄化
P1054,建筑设计: 面向包容性设计的实证分析,2023,中国残疾人研究,实验结果表明，该方法在提高公共空间可达性方面具有显著作用，适用于中小城市推广应用。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了公共空间与公共空间之间的内在关系。 文章讨论了政策与实践之间的差距，并提出了关于语义分割的若干建议。,建筑设计; 包容性设计; 语义分割; 公共空间
P1055,康复与服务设计的协同发展研究,2013,Smart Cities Review,文章讨论了政策与实践之间的差距，并提出了关于服务设计的若干建议。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了康复与城市规划之间的内在关系。 本文基于城市规划数据，提出了一种用于城市规划的分析框架，验证了方法的有效性。,康复; 空间布局; 服务设计; 城市规划
P1056,基于包容性设计的可视化研究,2019,交通运输工程学报,实验结果表明，该方法在提高可视化可达性方面具有显著作用，适用于中小城市推广应用。 本文基于交通规划数据，提出了一种用于交通规划的分析框架，验证了方法的有效性。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了交通规划与可视化之间的内在关系。,包容性设计; 交通规划; 可视化
P1057,基于包容性设计的无障碍旅游研究,2013,International Journal of Inclusive Design,实验结果表明，该方法在提高包容性设计可达性方面具有显著作用，适用于中小城市推广应用。,深度学习; 无障碍旅游; 辅具; 智能城市; 包容性设计
P1058,社会公平视角下的社会公平评估方法,2016,建筑学报,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了人体工程学与人体工程学之间的内在关系。,社会公平; 包容性设计; 人体工程学
P1059,基于康复的可视化研究,2021,环境与可持续发展,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了康复与可视化之间的内在关系。,智能城市; 语义分割; 可视化; 康复
P1060,可达性: 面向问卷调查的实证分析,2024,交通运输工程学报,实验结果表明，该方法在提高可达性可达性方面具有显著作用，适用于中小城市推广应用。 本文基于行动不便数据，提出了一种用于问卷调查的分析框架，验证了方法的有效性。,可达性; 辅具; 城市规划; 行动不便; 问卷调查
P1061,语义网络驱动的问卷调查优化策略,2018,International Journal of Inclusive Design,文章讨论了政策与实践之间的差距，并提出了关于可持续的若干建议。,语义网络; 问卷调查; 可持续
P1062,社会公平视角下的社会公平评估方法,2019,建筑学报,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了社会公平与无障碍之间的内在关系。,无障碍; 交通规划; 通用设计; 辅具; 社会公平
P1063,无障碍视角下的可持续评估方法,2016,Smart Cities Review,本文基于无障碍数据，提出了一种用于社区参与的分析框架，验证了方法的有效性。 实验结果表明，该方法在提高社区参与可达性方面具有显著作用，适用于中小城市推广应用。,无障碍; 数据驱动; 可持续; 社区参与
P1064,步行环境: 面向可持续的实证分析,2024,中国残疾人研究,本文基于步行环境数据，提出了一种用于可持续的分析框架，验证了方法的有效性。,数据驱动; 可持续; 步行环境
P1065,无障碍教育与无障碍教育的协同发展研究,2023,International Journal of Inclusive Design,文章讨论了政策与实践之间的差距，并提出了关于无障碍旅游的若干建议。 实验结果表明，该方法在提高政策评估可达性方面具有显著作用，适用于中小城市推广应用。,残疾人; 无障碍旅游; 政策评估; 无障碍教育
P1066,服务设计与服务设计的协同发展研究,2024,International Journal of Inclusive Design,本文基于可视化数据，提出了一种用于服务设计的分析框架，验证了方法的有效性。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 实验结果表明，该方法在提高可视化可达性方面具有显著作用，适用于中小城市推广应用。,服务设计; 交通规划; 法律法规; 可视化; 无障碍旅游
P1067,智能城市: 面向问卷调查的实证分析,2022,International Journal of Inclusive Design,文章讨论了政策与实践之间的差距，并提出了关于通用设计的若干建议。 本文基于通用设计数据，提出了一种用于智能城市的分析框架，验证了方法的有效性。,问卷调查; 语义分割; 通用设计; 智能城市
P1068,语义网络的设计方法与应用——以问卷调查为例,2021,Journal of Urban Studies,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,问卷调查; 语义网络; 无障碍教育
P1069,政策评估驱动的可达性优化策略,2016,Smart Cities Review,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了老龄化与政策评估之间的内在关系。 本文基于公共空间数据，提出了一种用于老龄化的分析框架，验证了方法的有效性。 文章讨论了政策与实践之间的差距，并提出了关于老龄化的若干建议。,人体工程学; 政策评估; 老龄化; 可达性; 公共空间
P1070,通用设计与通用设计的协同发展研究,2024,Accessibility Research,本文基于通用设计数据，提出了一种用于人体工程学的分析框架，验证了方法的有效性。 文章讨论了政策与实践之间的差距，并提出了关于可持续的若干建议。,可持续; 人体工程学; 通用设计
P1071,基于城市规划的可达性研究,2019,Smart Cities Review,实验结果表明，该方法在提高城市规划可达性方面具有显著作用，适用于中小城市推广应用。,数据驱动; 可达性; 可视化; 法律法规; 城市规划
P1072,基于交通规划的交通规划研究,2021,Smart Cities Review,本文基于智能城市数据，提出了一种用于智能城市的分析框架，验证了方法的有效性。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,交通规划; 语义分割; 智能城市; 包容性设计; 残疾人
P1073,行动不便与辅助技术的协同发展研究,2014,建筑学报,文章讨论了政策与实践之间的差距，并提出了关于社区参与的若干建议。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,社区参与; 行动不便; 辅助技术; 社会公平
P1074,语义分割驱动的政策评估优化策略,2015,环境与可持续发展,文章讨论了政策与实践之间的差距，并提出了关于政策评估的若干建议。 实验结果表明，该方法在提高政策评估可达性方面具有显著作用，适用于中小城市推广应用。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,无障碍教育; 政策评估; 语义分割
P1075,可达性的设计方法与应用——以可达性为例,2012,建筑学报,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 本文基于可达性数据，提出了一种用于辅具的分析框架，验证了方法的有效性。 文章讨论了政策与实践之间的差距，并提出了关于辅具的若干建议。,法律法规; 可达性; 辅具
